what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290745451164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745453436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745459589
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1290745465632
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745466914
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745472459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745475876
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745499355
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745499384
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1290745504890
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745505913
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745521861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290745539706
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745540581
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745542700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745546796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290745550955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745551483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745559565
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290745570283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745571667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745583247
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745600400
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745624063
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745625301
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1290745626220
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745626693
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745627518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1290745628254
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745629482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1290745632008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745634338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745644568
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745648993
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745651493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745652195
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745653266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745653283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745653341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745653357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745655338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745663080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745741989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745754844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745756401
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745756416
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745756461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745756478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745762115
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745763281
closed,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745763281
opened,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsSourceEditor",1290745763372
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsSourceEditor",1290745763404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745773828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745924174
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1290745924340
closed,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsSourceEditor",1290745924341
opened,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745924390
activated,editor,net.sf.eclipsensis.installoptions,0.9.8,"net.sf.eclipsensis.installoptions.editor.InstallOptionsDesignEditor",1290745924427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745944164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745945176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745945191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745945234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745945249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745952844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290745964704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290746841328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290746851194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290746851529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290746851586
started,bundle,org.eclipse.help.ui,3.5.2.r36_v20100702,"org.eclipse.help.ui",1290746991342
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1290746991529
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1290747072648
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1290747096768
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1290747097110
